id,type,name,status,description,start date,duration,end date,epic
1,TASK,Task #1,NEW,Task1 description,3000-01-01T00:00,0,3000-01-01T00:00
2,TASK,Task #2,IN_PROGRESS,Task2 description,3000-01-01T00:00,0,3000-01-01T00:00
3,TASK,Task,NEW,Task with time,2023-09-07T20:00,60,2023-09-07T21:00
4,TASK,Task 2,NEW,Task with time 2,2023-09-07T15:00,299,2023-09-07T19:59
5,TASK,Task 3,NEW,Task with time 3,2023-09-07T10:00,299,2023-09-07T14:59
6,EPIC,Epic #1,IN_PROGRESS,Epic1 description,2023-09-07T09:00,15010,2023-09-17T19:10
7,EPIC,Epic #2,DONE,Epic2 description,3000-01-01T00:00,0,3000-01-01T00:00
8,SUBTASK,Subtask #1-1,NEW,Subtask1 description,2023-09-07T09:00,10,2023-09-07T09:10,6
9,SUBTASK,Subtask #2-1,DONE,Subtask2 description,2023-10-07T09:00,15000,2023-10-17T19:00,6
10,SUBTASK,Subtask #3-2,DONE,Subtask3 description,3000-01-01T00:00,0,3000-01-01T00:00,7

7,2,1,6,8,9,10
